search_region_id,daangn_region_id,region_name
488,28,신당동
489,489,범일제5동
490,5968,동삼동
491,491,남항동
492,492,영선제1동
493,493,영선제2동
494,494,신선동
495,495,봉래제1동
496,496,봉래제2동
497,497,청학제1동
498,498,청학제2동
499,499,동삼제1동
500,500,동삼제2동
501,501,동삼제3동
502,5918,부전동
503,503,부전제1동
504,504,부전제2동
505,505,연지동
506,506,초읍동
507,507,양정제1동
508,508,양정제2동
509,509,전포제1동
510,510,전포제2동
511,511,부암제1동
512,512,부암제3동
513,513,당감제1동
514,514,당감제2동
515,515,당감제4동
516,516,가야제1동
517,517,가야제2동
518,518,개금제1동
519,519,개금제2동
520,520,개금제3동
521,521,범천제1동
522,522,범천제2동
523,28,신당동
524,5907,사직동
525,525,수민동
526,526,복산동
527,527,명륜동
528,528,온천제1동
529,529,온천제2동
530,530,온천제3동
531,531,사직제1동
532,532,사직제2동
533,533,사직제3동
534,534,안락제1동
535,535,안락제2동
536,536,명장제1동
537,537,명장제2동
538,5898,대연동
539,539,대연제1동
540,540,대연제3동
541,541,대연제4동
542,542,대연제5동
543,543,대연제6동
544,544,용호제1동
545,545,용호제2동
546,546,용호제3동
547,547,용호제4동
548,548,용당동
549,549,감만제1동
550,550,감만제2동
551,551,우암동
552,552,문현제1동
553,553,문현제2동
554,554,문현제3동
555,555,문현제4동
556,5924,화명동
557,557,구포제1동
558,558,구포제2동
559,559,구포제3동
560,560,금곡동
561,561,화명제1동
562,562,화명제2동
563,563,화명제3동
564,564,덕천제1동
565,565,덕천제2동
566,566,덕천제3동
567,567,만덕제1동
568,568,만덕제2동
569,569,만덕제3동
570,6026,우동
571,571,우제1동
572,572,우제2동
573,573,중제1동
574,574,중제2동
575,575,좌제1동
576,576,좌제2동
577,577,좌제3동
578,578,좌제4동
579,579,송정동
580,580,반여제1동
581,581,반여제2동
582,582,반여제3동
583,583,반여제4동
584,584,반송제1동
585,585,반송제2동
586,28,신당동
587,587,재송제1동
588,588,재송제2동
589,5933,하단동
590,590,괴정제1동
591,591,괴정제2동
592,592,괴정제3동
593,593,괴정제4동
594,594,당리동
595,595,하단제1동
596,596,하단제2동
597,597,신평제1동
598,598,신평제2동
599,599,장림제1동
600,600,장림제2동
601,601,다대제1동
602,602,다대제2동
603,603,구평동
604,604,감천제1동
605,605,감천제2동
606,5894,장전동
607,607,서제1동
608,608,서제2동
609,609,서제3동
610,610,금사동
611,611,부곡제1동
612,612,부곡제2동
613,613,부곡제3동
614,614,부곡제4동
615,615,장전제1동
616,616,장전제2동
617,617,장전제3동
618,618,선두구동
619,619,청룡노포동
620,620,남산동
621,621,구서제1동
622,622,구서제2동
623,623,금성동
624,5873,명지동
625,625,대저1동
626,626,대저2동
627,627,강동동
628,628,명지1동
629,629,가락동
630,630,녹산동
631,631,가덕도동
632,5960,연산동
633,633,거제제1동
634,634,거제제2동
635,635,거제제3동
636,636,거제제4동
637,637,연산제1동
638,638,연산제2동
639,639,연산제3동
640,640,연산제4동
641,641,연산제5동
642,642,연산제6동
643,643,연산제8동
644,644,연산제9동
645,5956,광안동
646,646,남천제1동
647,647,남천제2동
648,648,수영동
649,649,망미제1동
650,650,망미제2동
651,651,광안제1동
652,652,광안제2동
653,653,광안제3동
654,654,광안제4동
655,655,민락동
656,662,괘법동
657,657,삼락동
658,658,모라제1동
659,659,모라제3동
660,660,덕포제1동
661,661,덕포제2동
662,662,괘법동
663,663,감전동
664,664,주례제1동
665,665,주례제2동
666,666,주례제3동
667,667,학장동
668,668,엄궁동
669,4121,정관읍
670,670,기장읍
671,671,장안읍
672,672,일광읍
673,28,신당동
674,674,철마면
675,5682,남산동
676,5682,남산동
677,677,동인동
678,678,삼덕동
679,679,성내1동
680,680,성내2동
681,681,성내3동
682,682,대신동
683,683,남산1동
684,684,남산2동
685,685,남산3동
686,686,남산4동
687,687,대봉1동
688,688,대봉2동
689,5616,율하동
690,690,신암1동
691,691,신암2동
692,692,신암3동
693,693,신암4동
694,694,신암5동
695,695,신천1.2동
696,696,신천3동
697,697,신천4동
698,698,효목1동
699,699,효목2동
700,700,도평동
701,701,불로.봉무동
702,702,지저동
703,703,동촌동
704,704,방촌동
705,705,해안동
706,706,안심1동
707,707,안심2동
708,708,안심3.4동
709,709,공산동
710,5655,평리동
711,711,내당1동
712,712,내당2.3동
713,713,내당4동
714,714,비산1동
715,715,비산2.3동
716,716,비산4동
717,717,비산5동
718,718,비산6동
719,719,비산7동
720,720,평리1동
721,721,평리2동
